temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,weather_main
287.2126875,287.2126875,287.2126875,1013,54,5,251,clouds
286.6113125,286.6113125,286.6113125,1013,57,4,250,clouds
286.2915,286.2915,286.2915,1012,56,5,252,clouds
285.5963438,285.5963438,285.5963438,1012,60,4,250,clouds
285.1826875,285.1826875,285.1826875,1012,61,5,251,clouds
286.75,286.75,286.75,1011,55,3,233,clouds
287.05,287.05,287.05,1011,53,4,271,clouds
286.65,286.65,286.65,1010,54,9,231,clouds
285.95,285.95,285.95,1009,58,6,273,clouds
285.25,285.25,285.25,1009,61,6,242,clouds
284.55,284.55,284.55,1009,64,6,253,clouds
285.45,285.45,285.45,1008,63,3,237,clouds
285.35,285.35,285.35,1009,68,4,283,clouds
285.25,285.25,285.25,1009,65,9,321,clouds
284.75,284.75,284.75,1011,62,3,307,clouds
284.35,284.35,284.35,1012,55,27,311,clouds
284.35,284.35,284.35,1012,52,8,285,clouds
284.95,284.95,284.95,1012,49,30,255,clouds
285.05,285.05,285.05,1012,51,4,309,clear
285.85,285.85,285.85,1012,43,11,218,clear
286.05,286.05,286.05,1012,37,6,264,clear
284.421,284.421,284.421,1013,41,9,265,clear
283.55,283.55,283.55,1015,42,11,245,clear
282.85,282.85,282.85,1016,46,4,240,clear
282.35,282.35,282.35,1017,48,3,314,clear
281.95,281.95,281.95,1017,50,11,270,clear
281.45,281.45,281.45,1018,54,6,229,clear
280.65,280.65,280.65,1018,58,12,264,clear
280.55,280.55,280.55,1019,62,1,223,clear
280.05,280.05,280.05,1019,64,4,6,clear
279.45,279.45,279.45,1020,66,4,288,clear
279.05,279.05,279.05,1020,69,6,278,clear
279.25,279.25,279.25,1020,65,3,302,clear
278.95,278.95,278.95,1020,62,3,302,clear
278.35,278.35,278.35,1020,64,12,246,clear
278.05,278.05,278.05,1021,63,9,281,clear
278.25,278.25,278.25,1021,60,8,277,clear
279.85,279.85,279.85,1021,54,1,231,clear
281.85,281.85,281.85,1022,49,4,263,clear
283.25,283.25,283.25,1022,45,3,311,clear
284.25,284.25,284.25,1022,40,2,288,clear
284.85,284.85,284.85,1021,38,6,229,clear
286.25,286.25,286.25,1020,36,2,294,clear
286.75,286.75,286.75,1020,33,1,334,clear
286.45,286.45,286.45,1020,34,3,75,clear
285.65,285.65,285.65,1020,36,1,258,clear
